;Rule;Class
0;[0]-[1];C
1;[0]-[2];C
2;[0]-[3];C
3;[0]-[4];E
4;[0]-[5];E
5;[0]-[6];E
6;[0]-[7];E
7;[0]-[8];E
8;[1]-[0];D
9;[1]-[2];D
10;[1]-[3];C
11;[1]-[4];C
12;[1]-[5];E
13;[1]-[6];E
14;[1]-[7];E
15;[1]-[8];E
16;[2]-[0];E
17;[2]-[1];D
18;[2]-[3];B
19;[2]-[4];D
20;[2]-[5];D
21;[2]-[6];E
22;[2]-[7];E
23;[2]-[8];E
24;[3]-[0];E
25;[3]-[1];E
26;[3]-[2];D
27;[3]-[4];B
28;[3]-[5];D
29;[3]-[6];D
30;[3]-[7];E
31;[3]-[8];E
32;[4]-[0];E
33;[4]-[1];E
34;[4]-[2];C
35;[4]-[3];C
36;[4]-[5];C
37;[4]-[6];C
38;[4]-[7];C
39;[4]-[8];E
40;[5]-[0];E
41;[5]-[1];E
42;[5]-[2];E
43;[5]-[3];E
44;[5]-[4];C
45;[5]-[6];C
46;[5]-[7];E
47;[5]-[8];E
48;[6]-[0];E
49;[6]-[1];E
50;[6]-[2];E
51;[6]-[3];E
52;[6]-[4];E
53;[6]-[5];C
54;[6]-[7];E
55;[6]-[8];E
56;[7]-[0];E
57;[7]-[1];E
58;[7]-[2];E
59;[7]-[3];E
60;[7]-[4];E
61;[7]-[5];E
62;[7]-[6];E
63;[7]-[8];E
64;[8]-[0];E
65;[8]-[1];E
66;[8]-[2];E
67;[8]-[3];E
68;[8]-[4];E
69;[8]-[5];E
70;[8]-[6];E
71;[8]-[7];E
72;[0, 1]-[2];D
73;[0, 1]-[3];D
74;[0, 1]-[4];D
75;[0, 1]-[5];E
76;[0, 1]-[6];E
77;[0, 1]-[7];E
78;[0, 1]-[8];E
79;[0, 2]-[1];D
80;[0, 2]-[3];D
81;[0, 2]-[4];D
82;[0, 2]-[5];D
83;[0, 2]-[6];E
84;[0, 2]-[7];E
85;[0, 2]-[8];E
86;[0, 3]-[1];E
87;[0, 3]-[2];D
88;[0, 3]-[4];B
89;[0, 3]-[5];D
90;[0, 3]-[6];D
91;[0, 3]-[7];E
92;[0, 3]-[8];E
93;[0, 4]-[1];D
94;[0, 4]-[2];E
95;[0, 4]-[3];D
96;[0, 4]-[5];B
97;[0, 4]-[6];D
98;[0, 4]-[7];D
99;[0, 4]-[8];E
100;[0, 5]-[1];D
101;[0, 5]-[2];D
102;[0, 5]-[3];D
103;[0, 5]-[4];D
104;[0, 5]-[6];B
105;[0, 5]-[7];D
106;[0, 5]-[8];D
107;[0, 6]-[1];D
108;[0, 6]-[2];D
109;[0, 6]-[3];C
110;[0, 6]-[4];E
111;[0, 6]-[5];D
112;[0, 6]-[7];D
113;[0, 6]-[8];D
114;[0, 7]-[1];C
115;[0, 7]-[2];C
116;[0, 7]-[3];C
117;[0, 7]-[4];E
118;[0, 7]-[5];E
119;[0, 7]-[6];E
120;[0, 7]-[8];C
121;[0, 8]-[1];C
122;[0, 8]-[2];C
123;[0, 8]-[3];C
124;[0, 8]-[4];E
125;[0, 8]-[5];E
126;[0, 8]-[6];E
127;[0, 8]-[7];E
128;[1, 2]-[0];E
129;[1, 2]-[3];D
130;[1, 2]-[4];D
131;[1, 2]-[5];D
132;[1, 2]-[6];E
133;[1, 2]-[7];E
134;[1, 2]-[8];E
135;[1, 3]-[0];E
136;[1, 3]-[2];D
137;[1, 3]-[4];B
138;[1, 3]-[5];D
139;[1, 3]-[6];D
140;[1, 3]-[7];E
141;[1, 3]-[8];E
142;[1, 4]-[0];E
143;[1, 4]-[2];E
144;[1, 4]-[3];D
145;[1, 4]-[5];B
146;[1, 4]-[6];D
147;[1, 4]-[7];D
148;[1, 4]-[8];E
149;[1, 5]-[0];E
150;[1, 5]-[2];D
151;[1, 5]-[3];D
152;[1, 5]-[4];D
153;[1, 5]-[6];B
154;[1, 5]-[7];D
155;[1, 5]-[8];D
156;[1, 6]-[0];D
157;[1, 6]-[2];D
158;[1, 6]-[3];C
159;[1, 6]-[4];C
160;[1, 6]-[5];C
161;[1, 6]-[7];D
162;[1, 6]-[8];D
163;[1, 7]-[0];D
164;[1, 7]-[2];D
165;[1, 7]-[3];C
166;[1, 7]-[4];C
167;[1, 7]-[5];E
168;[1, 7]-[6];C
169;[1, 7]-[8];D
170;[1, 8]-[0];D
171;[1, 8]-[2];D
172;[1, 8]-[3];C
173;[1, 8]-[4];C
174;[1, 8]-[5];E
175;[1, 8]-[6];E
176;[1, 8]-[7];D
177;[2, 3]-[0];E
178;[2, 3]-[1];D
179;[2, 3]-[4];B
180;[2, 3]-[5];D
181;[2, 3]-[6];D
182;[2, 3]-[7];E
183;[2, 3]-[8];E
184;[2, 4]-[0];E
185;[2, 4]-[1];E
186;[2, 4]-[3];D
187;[2, 4]-[5];B
188;[2, 4]-[6];D
189;[2, 4]-[7];D
190;[2, 4]-[8];E
191;[2, 5]-[0];E
192;[2, 5]-[1];E
193;[2, 5]-[3];D
194;[2, 5]-[4];D
195;[2, 5]-[6];B
196;[2, 5]-[7];D
197;[2, 5]-[8];D
198;[2, 6]-[0];E
199;[2, 6]-[1];D
200;[2, 6]-[3];D
201;[2, 6]-[4];B
202;[2, 6]-[5];D
203;[2, 6]-[7];D
204;[2, 6]-[8];D
205;[2, 7]-[0];E
