,0,1
0,[0],[1]
1,[0],[2]
2,[0],[3]
3,[0],[4]
4,[0],[5]
5,[0],[6]
6,[0],[7]
7,[0],[8]
8,[1],[0]
9,[1],[2]
10,[1],[3]
11,[1],[4]
12,[1],[5]
13,[1],[6]
14,[1],[7]
15,[1],[8]
16,[2],[0]
17,[2],[1]
18,[2],[3]
19,[2],[4]
20,[2],[5]
21,[2],[6]
22,[2],[7]
23,[2],[8]
24,[3],[0]
25,[3],[1]
26,[3],[2]
27,[3],[4]
28,[3],[5]
29,[3],[6]
30,[3],[7]
31,[3],[8]
32,[4],[0]
33,[4],[1]
34,[4],[2]
35,[4],[3]
36,[4],[5]
37,[4],[6]
38,[4],[7]
39,[4],[8]
40,[5],[0]
41,[5],[1]
42,[5],[2]
43,[5],[3]
44,[5],[4]
45,[5],[6]
46,[5],[7]
47,[5],[8]
48,[6],[0]
49,[6],[1]
50,[6],[2]
51,[6],[3]
52,[6],[4]
53,[6],[5]
54,[6],[7]
55,[6],[8]
56,[7],[0]
57,[7],[1]
58,[7],[2]
59,[7],[3]
60,[7],[4]
61,[7],[5]
62,[7],[6]
63,[7],[8]
64,[8],[0]
65,[8],[1]
66,[8],[2]
67,[8],[3]
68,[8],[4]
69,[8],[5]
70,[8],[6]
71,[8],[7]
72,"[0, 1]",[2]
73,"[0, 1]",[3]
74,"[0, 1]",[4]
75,"[0, 1]",[5]
76,"[0, 1]",[6]
77,"[0, 1]",[7]
78,"[0, 1]",[8]
79,"[0, 2]",[1]
80,"[0, 2]",[3]
81,"[0, 2]",[4]
82,"[0, 2]",[5]
83,"[0, 2]",[6]
84,"[0, 2]",[7]
85,"[0, 2]",[8]
86,"[0, 3]",[1]
87,"[0, 3]",[2]
88,"[0, 3]",[4]
89,"[0, 3]",[5]
90,"[0, 3]",[6]
91,"[0, 3]",[7]
92,"[0, 3]",[8]
93,"[0, 4]",[1]
94,"[0, 4]",[2]
95,"[0, 4]",[3]
96,"[0, 4]",[5]
97,"[0, 4]",[6]
98,"[0, 4]",[7]
99,"[0, 4]",[8]
100,"[0, 5]",[1]
101,"[0, 5]",[2]
102,"[0, 5]",[3]
103,"[0, 5]",[4]
104,"[0, 5]",[6]
105,"[0, 5]",[7]
106,"[0, 5]",[8]
107,"[0, 6]",[1]
108,"[0, 6]",[2]
109,"[0, 6]",[3]
110,"[0, 6]",[4]
111,"[0, 6]",[5]
112,"[0, 6]",[7]
113,"[0, 6]",[8]
114,"[0, 7]",[1]
115,"[0, 7]",[2]
116,"[0, 7]",[3]
117,"[0, 7]",[4]
118,"[0, 7]",[5]
119,"[0, 7]",[6]
120,"[0, 7]",[8]
121,"[0, 8]",[1]
122,"[0, 8]",[2]
123,"[0, 8]",[3]
124,"[0, 8]",[4]
125,"[0, 8]",[5]
126,"[0, 8]",[6]
127,"[0, 8]",[7]
128,"[1, 2]",[0]
129,"[1, 2]",[3]
130,"[1, 2]",[4]
131,"[1, 2]",[5]
132,"[1, 2]",[6]
